Problem, Method, Param1, Param2, Param3, SolutionValue, Time
1, GA,100,10,0.01,1269.0,3.92436695099
1, SA,500,0.85,1e-05,1272.0,0.413181066513
1, GA,100,10,0.05,996.0,3.91092014313
1, SA,500,0.85,0.001,1201.0,0.296503067017
1, GA,100,10,0.1,1432.0,3.92313599586
1, SA,500,0.85,0.1,1203.0,0.20445394516
1, GA,100,25,0.01,1244.0,4.98217391968
1, SA,500,0.9,1e-05,1320.0,0.628443956375
1, GA,100,25,0.05,1255.0,4.98802709579
1, SA,500,0.9,0.001,1294.0,0.464857816696
1, GA,100,25,0.1,1120.0,5.00746798515
1, SA,500,0.9,0.1,1245.0,0.293797969818
1, GA,100,50,0.01,1046.0,6.77976107597
1, SA,500,0.95,1e-05,1367.0,1.26686286926
1, GA,100,50,0.05,1273.0,6.79115104675
1, SA,500,0.95,0.001,1382.0,0.936999082565
1, GA,100,50,0.1,1319.0,6.80075788498
1, SA,500,0.95,0.1,1243.0,0.625356912613
1, GA,100,100,0.01,951.0,0.0788280963898
1, SA,500,0.99,1e-05,1361.0,6.50523209572
1, GA,100,100,0.05,1165.0,0.0786418914795
1, SA,500,0.99,0.001,1350.0,4.79373788834
1, GA,100,100,0.1,892.0,0.0792031288147
1, SA,500,0.99,0.1,1336.0,3.11001491547
1, GA,200,10,0.01,1501.0,6.97501802444
1, SA,750,0.85,1e-05,1248.0,0.415117025375
1, GA,200,10,0.05,1211.0,7.0626540184
1, SA,750,0.85,0.001,1316.0,0.31568980217
1, GA,200,10,0.1,1225.0,7.06087589264
1, SA,750,0.85,0.1,1316.0,0.203973054886
1, GA,200,25,0.01,1191.0,8.17422413826
1, SA,750,0.9,1e-05,1310.0,0.652431964874
1, GA,200,25,0.05,1215.0,8.23559403419
1, SA,750,0.9,0.001,1311.0,0.489190816879
1, GA,200,25,0.1,1447.0,8.2383658886
1, SA,750,0.9,0.1,1274.0,0.313879966736
1, GA,200,50,0.01,1273.0,10.1832580566
1, SA,750,0.95,1e-05,1304.0,1.32223320007
1, GA,200,50,0.05,1204.0,10.2353150845
1, SA,750,0.95,0.001,1399.0,0.990680932999
1, GA,200,50,0.1,1396.0,10.2563090324
1, SA,750,0.95,0.1,1280.0,0.636586904526
1, GA,200,100,0.01,1402.0,14.1952540874
1, SA,750,0.99,1e-05,1380.0,6.69273996353
1, GA,200,100,0.05,1418.0,14.2243258953
1, SA,750,0.99,0.001,1371.0,4.97874903679
1, GA,200,100,0.1,1260.0,17.2008810043
1, SA,750,0.99,0.1,1266.0,3.2696211338
1, GA,500,10,0.01,1304.0,16.5890340805
1, SA,1000,0.85,1e-05,1250.0,0.416778802872
1, GA,500,10,0.05,1207.0,23.6207990646
1, SA,1000,0.85,0.001,1275.0,0.321625232697
1, GA,500,10,0.1,1287.0,16.5621631145
1, SA,1000,0.85,0.1,1301.0,0.204215049744
1, GA,500,25,0.01,1225.0,25.0675570965
1, SA,1000,0.9,1e-05,1282.0,0.646107912064
1, GA,500,25,0.05,1217.0,25.3472509384
1, SA,1000,0.9,0.001,1311.0,0.478143930435
1, GA,500,25,0.1,1347.0,25.3008458614
1, SA,1000,0.9,0.1,1304.0,0.329118967056
1, GA,500,50,0.01,1434.0,20.4498598576
1, SA,1000,0.95,1e-05,1342.0,1.32040596008
1, GA,500,50,0.05,1388.0,27.7146368027
1, SA,1000,0.95,0.001,1275.0,0.985335111618
1, GA,500,50,0.1,1327.0,21.1547141075
1, SA,1000,0.95,0.1,1264.0,0.666671991348
1, GA,500,100,0.01,1593.0,25.532189846
1, SA,1000,0.99,1e-05,1396.0,6.77585411072
1, GA,500,100,0.05,1484.0,25.5937261581
1, SA,1000,0.99,0.001,1357.0,5.06092715263
1, GA,500,100,0.1,1537.0,25.719586134
1, SA,1000,0.99,0.1,1343.0,3.39538693428
1, GA,750,10,0.01,1359.0,35.0838329792
1, SA,2000,0.85,1e-05,1328.0,0.42205119133
1, GA,750,10,0.05,1306.0,24.4062440395
1, SA,2000,0.85,0.001,1248.0,0.338409900665
1, GA,750,10,0.1,1389.0,24.7683961391
1, SA,2000,0.85,0.1,1214.0,0.221145153046
1, GA,750,25,0.01,1230.0,26.5246639252
1, SA,2000,0.9,1e-05,1301.0,0.673768043518
1, GA,750,25,0.05,1218.0,36.9607899189
1, SA,2000,0.9,0.001,1208.0,0.50395488739
1, GA,750,25,0.1,1345.0,26.2192540169
1, SA,2000,0.9,0.1,1361.0,0.349935054779
1, GA,750,50,0.01,1509.0,28.8807480335
1, SA,2000,0.95,1e-05,1315.0,1.39512896538
1, GA,750,50,0.05,1503.0,29.4380149841
1, SA,2000,0.95,0.001,1306.0,1.03979206085
1, GA,750,50,0.1,1503.0,29.1467020512
1, SA,2000,0.95,0.1,1318.0,0.70779299736
1, GA,750,100,0.01,1434.0,35.1609811783
1, SA,2000,0.99,1e-05,1422.0,7.03820991516
1, GA,750,100,0.05,1342.0,46.2132968903
1, SA,2000,0.99,0.001,1337.0,5.30221295357
1, GA,750,100,0.1,1528.0,35.3700518608
1, SA,2000,0.99,0.1,1326.0,3.64670991898
2, GA,100,10,0.01,1183.0,5.44139289856
2, SA,500,0.85,1e-05,1222.0,0.59588098526
2, GA,100,10,0.05,1109.0,5.44702506065
2, SA,500,0.85,0.001,1206.0,0.441462993622
2, GA,100,10,0.1,1360.0,5.46666502953
2, SA,500,0.85,0.1,1293.0,0.285108089447
2, GA,100,25,0.01,1139.0,6.54068207741
2, SA,500,0.9,1e-05,1349.0,0.901719093323
2, GA,100,25,0.05,1404.0,6.54448986053
2, SA,500,0.9,0.001,1359.0,0.662539958954
2, GA,100,25,0.1,1329.0,6.57468605042
2, SA,500,0.9,0.1,1202.0,0.437035083771
2, GA,100,50,0.01,1107.0,8.37773990631
2, SA,500,0.95,1e-05,1370.0,1.83632707596
2, GA,100,50,0.05,1327.0,8.35832285881
2, SA,500,0.95,0.001,1347.0,1.3758161068
2, GA,100,50,0.1,606.0,8.37484002113
2, SA,500,0.95,0.1,1193.0,0.889918088913
2, GA,100,100,0.01,1337.0,0.0767669677734
2, SA,500,0.99,1e-05,1456.0,9.43271613121
2, GA,100,100,0.05,838.0,0.0750601291656
2, SA,500,0.99,0.001,1411.0,6.99722290039
2, GA,100,100,0.1,1474.0,0.0787081718445
2, SA,500,0.99,0.1,1343.0,4.56949591637
2, GA,200,10,0.01,751.0,10.0857520103
2, SA,750,0.85,1e-05,1299.0,0.602005004883
2, GA,200,10,0.05,958.0,10.1089911461
2, SA,750,0.85,0.001,1236.0,0.449789047241
2, GA,200,10,0.1,1074.0,10.1507890224
2, SA,750,0.85,0.1,1275.0,0.297171831131
2, GA,200,25,0.01,1305.0,11.3058178425
2, SA,750,0.9,1e-05,1322.0,0.91549706459
2, GA,200,25,0.05,1264.0,11.3213450909
2, SA,750,0.9,0.001,1254.0,0.684258937836
2, GA,200,25,0.1,1205.0,8.30578303337
2, SA,750,0.9,0.1,1256.0,0.424277067184
2, GA,200,50,0.01,1250.0,13.3301279545
2, SA,750,0.95,1e-05,1303.0,1.89911794662
2, GA,200,50,0.05,400.0,13.3612589836
2, SA,750,0.95,0.001,1349.0,1.39519691467
2, GA,200,50,0.1,1475.0,13.3792500496
2, SA,750,0.95,0.1,1243.0,0.919312953949
2, GA,200,100,0.01,917.0,17.340790987
2, SA,750,0.99,1e-05,1341.0,9.69049787521
2, GA,200,100,0.05,13.0,17.3730988503
2, SA,750,0.99,0.001,1326.0,7.17754101753
2, GA,200,100,0.1,1486.0,17.3968298435
2, SA,750,0.99,0.1,1356.0,4.76468491554
2, GA,500,10,0.01,1022.0,16.4944398403
2, SA,1000,0.85,1e-05,1226.0,0.611282110214
2, GA,500,10,0.05,1273.0,24.1551651955
2, SA,1000,0.85,0.001,1270.0,0.458745002747
2, GA,500,10,0.1,1261.0,24.2545919418
2, SA,1000,0.85,0.1,1193.0,0.30598282814
2, GA,500,25,0.01,1162.0,25.6509349346
2, SA,1000,0.9,1e-05,1257.0,0.94285607338
2, GA,500,25,0.05,1387.0,25.7309570312
2, SA,1000,0.9,0.001,1190.0,0.68607211113
2, GA,500,25,0.1,1257.0,26.0636210442
2, SA,1000,0.9,0.1,1183.0,0.484814167023
2, GA,500,50,0.01,1354.0,28.5955519676
2, SA,1000,0.95,1e-05,1338.0,1.93738508224
2, GA,500,50,0.05,1236.0,20.9496150017
2, SA,1000,0.95,0.001,1327.0,1.4326839447
2, GA,500,50,0.1,1610.0,28.4825339317
2, SA,1000,0.95,0.1,1299.0,0.97172498703
2, GA,500,100,0.01,1745.0,33.8025090694
2, SA,1000,0.99,1e-05,1345.0,9.71143507957
2, GA,500,100,0.05,1096.0,33.6698200703
2, SA,1000,0.99,0.001,1350.0,7.28728413582
2, GA,500,100,0.1,1364.0,33.7885460854
2, SA,1000,0.99,0.1,1317.0,4.85458803177
2, GA,750,10,0.01,1398.0,35.7839081287
2, SA,2000,0.85,1e-05,1237.0,0.61842918396
2, GA,750,10,0.05,1274.0,35.8775470257
2, SA,2000,0.85,0.001,1183.0,0.478017091751
2, GA,750,10,0.1,1425.0,35.7888739109
2, SA,2000,0.85,0.1,1358.0,0.318837881088
2, GA,750,25,0.01,1321.0,37.5712919235
2, SA,2000,0.9,1e-05,1315.0,0.98167681694
2, GA,750,25,0.05,1211.0,37.6371338367
2, SA,2000,0.9,0.001,1227.0,0.748646974564
2, GA,750,25,0.1,1321.0,37.7566289902
2, SA,2000,0.9,0.1,1288.0,0.505587100983
2, GA,750,50,0.01,1204.0,40.7589528561
2, SA,2000,0.95,1e-05,1375.0,2.01548814774
2, GA,750,50,0.05,1372.0,40.8365390301
2, SA,2000,0.95,0.001,1299.0,1.5149409771
2, GA,750,50,0.1,1407.0,40.9240260124
2, SA,2000,0.95,0.1,1265.0,1.02796792984
2, GA,750,100,0.01,1171.0,35.8189721107
2, SA,2000,0.99,1e-05,1378.0,10.1653058529
2, GA,750,100,0.05,1379.0,47.1227798462
2, SA,2000,0.99,0.001,1319.0,7.71023702621
2, GA,750,100,0.1,1633.0,47.2692101002
2, SA,2000,0.99,0.1,1376.0,5.2319560051
3, GA,100,10,0.01,123.0,5.30365300179
3, SA,500,0.85,1e-05,1148.0,0.530714988708
3, GA,100,10,0.05,751.0,5.32933998108
3, SA,500,0.85,0.001,1189.0,0.395181894302
3, GA,100,10,0.1,430.0,5.33453416824
3, SA,500,0.85,0.1,1041.0,0.25455904007
3, GA,100,25,0.01,246.0,6.40961408615
3, SA,500,0.9,1e-05,1162.0,0.842145204544
3, GA,100,25,0.05,817.0,5.00238513947
3, SA,500,0.9,0.001,1144.0,0.610008001328
3, GA,100,25,0.1,902.0,5.0560669899
3, SA,500,0.9,0.1,1115.0,0.396593093872
3, GA,100,50,0.01,879.0,6.81498289108
3, SA,500,0.95,1e-05,1214.0,1.71930813789
3, GA,100,50,0.05,966.0,8.24038720131
3, SA,500,0.95,0.001,1167.0,1.26188993454
3, GA,100,50,0.1,548.0,8.26877307892
3, SA,500,0.95,0.1,1210.0,0.822885036469
3, GA,100,100,0.01,0,0.084703207016
3, SA,500,0.99,1e-05,1282.0,8.62668776512
3, GA,100,100,0.05,679.0,0.0783920288086
3, SA,500,0.99,0.001,1196.0,6.36903190613
3, GA,100,100,0.1,0,0.0827031135559
3, SA,500,0.99,0.1,1229.0,4.13284277916
3, GA,200,10,0.01,882.0,7.03375482559
3, SA,750,0.85,1e-05,1141.0,0.546912908554
3, GA,200,10,0.05,917.0,7.0137360096
3, SA,750,0.85,0.001,1204.0,0.426114082336
3, GA,200,10,0.1,706.0,9.90044379234
3, SA,750,0.85,0.1,1151.0,0.264029026031
3, GA,200,25,0.01,1006.0,11.0615530014
3, SA,750,0.9,1e-05,1147.0,0.840726852417
3, GA,200,25,0.05,892.0,8.25287699699
3, SA,750,0.9,0.001,1232.0,0.631083965302
3, GA,200,25,0.1,1077.0,8.3062851429
3, SA,750,0.9,0.1,1174.0,0.407860040665
3, GA,200,50,0.01,989.0,13.0877828598
3, SA,750,0.95,1e-05,1218.0,1.72211003304
3, GA,200,50,0.05,945.0,10.335231781
3, SA,750,0.95,0.001,1208.0,1.30514383316
3, GA,200,50,0.1,805.0,10.3273570538
3, SA,750,0.95,0.1,1128.0,0.850594997406
3, GA,200,100,0.01,705.0,14.2642378807
3, SA,750,0.99,1e-05,1267.0,8.8496670723
3, GA,200,100,0.05,175.0,17.146679163
3, SA,750,0.99,0.001,1217.0,6.56221103668
3, GA,200,100,0.1,1171.0,17.178123951
3, SA,750,0.99,0.1,1226.0,4.3583650589
3, GA,500,10,0.01,911.0,16.4670710564
3, SA,1000,0.85,1e-05,1167.0,0.541447877884
3, GA,500,10,0.05,776.0,23.5284619331
3, SA,1000,0.85,0.001,1187.0,0.43011713028
3, GA,500,10,0.1,864.0,16.4788980484
3, SA,1000,0.85,0.1,1140.0,0.273641824722
3, GA,500,25,0.01,937.0,17.9715070724
3, SA,1000,0.9,1e-05,1227.0,0.846216917038
3, GA,500,25,0.05,1213.0,17.9534299374
3, SA,1000,0.9,0.001,1210.0,0.65404009819
3, GA,500,25,0.1,813.0,25.0701990128
3, SA,1000,0.9,0.1,1164.0,0.433264017105
3, GA,500,50,0.01,1063.0,27.6069478989
3, SA,1000,0.95,1e-05,1178.0,1.7447810173
3, GA,500,50,0.05,833.0,27.6326389313
3, SA,1000,0.95,0.001,1191.0,1.31046485901
3, GA,500,50,0.1,1049.0,20.8558189869
3, SA,1000,0.95,0.1,1341.0,0.865718126297
3, GA,500,100,0.01,716.0,25.7782211304
3, SA,1000,0.99,1e-05,1237.0,8.90127587318
3, GA,500,100,0.05,1094.0,25.8419539928
3, SA,1000,0.99,0.001,1339.0,6.69852304459
3, GA,500,100,0.1,1001.0,25.8927459717
3, SA,1000,0.99,0.1,1236.0,4.45710110664
3, GA,750,10,0.01,1003.0,34.6957659721
3, SA,2000,0.85,1e-05,1253.0,0.556561946869
3, GA,750,10,0.05,953.0,34.8997380733
3, SA,2000,0.85,0.001,1150.0,0.428008079529
3, GA,750,10,0.1,972.0,24.4308600426
3, SA,2000,0.85,0.1,1196.0,0.303844928741
3, GA,750,25,0.01,849.0,36.7358310223
3, SA,2000,0.9,1e-05,1100.0,0.906558990479
3, GA,750,25,0.05,1073.0,36.7752990723
3, SA,2000,0.9,0.001,1085.0,0.683264017105
3, GA,750,25,0.1,950.0,36.8265340328
3, SA,2000,0.9,0.1,1134.0,0.456308841705
3, GA,750,50,0.01,1135.0,29.2458260059
3, SA,2000,0.95,1e-05,1236.0,1.85897803307
3, GA,750,50,0.05,973.0,29.238615036
3, SA,2000,0.95,0.001,1216.0,1.38647389412
3, GA,750,50,0.1,1166.0,40.0432720184
3, SA,2000,0.95,0.1,1157.0,0.957517147064
3, GA,750,100,0.01,1138.0,35.4358050823
3, SA,2000,0.99,1e-05,1292.0,9.36560702324
3, GA,750,100,0.05,1106.0,35.5386769772
3, SA,2000,0.99,0.001,1258.0,7.08423089981
3, GA,750,100,0.1,888.0,35.7277171612
3, SA,2000,0.99,0.1,1336.0,4.78264784813
4, GA,100,10,0.01,1461.0,3.95225811005
4, SA,500,0.85,1e-05,1687.0,0.398931026459
4, GA,100,10,0.05,1461.0,3.96259117126
4, SA,500,0.85,0.001,1561.0,0.298810958862
4, GA,100,10,0.1,1595.0,3.97001004219
4, SA,500,0.85,0.1,1702.0,0.182911157608
4, GA,100,25,0.01,1562.0,5.04909181595
4, SA,500,0.9,1e-05,1573.0,0.612107992172
4, GA,100,25,0.05,1745.0,5.06431078911
4, SA,500,0.9,0.001,1577.0,0.443763971329
4, GA,100,25,0.1,1840.0,5.088534832
4, SA,500,0.9,0.1,1671.0,0.294406175613
4, GA,100,50,0.01,1706.0,6.89615082741
4, SA,500,0.95,1e-05,1576.0,1.26944708824
4, GA,100,50,0.05,1964.0,6.89741706848
4, SA,500,0.95,0.001,1670.0,0.926157951355
4, GA,100,50,0.1,1671.0,6.92165017128
4, SA,500,0.95,0.1,1549.0,0.599008083344
4, GA,100,100,0.01,1324.0,0.0806291103363
4, SA,500,0.99,1e-05,1754.0,6.35669088364
4, GA,100,100,0.05,1243.0,0.0801119804382
4, SA,500,0.99,0.001,1652.0,4.72427606583
4, GA,100,100,0.1,1406.0,0.0808579921722
4, SA,500,0.99,0.1,1703.0,3.03153586388
4, GA,200,10,0.01,1578.0,7.07904314995
4, SA,750,0.85,1e-05,1669.0,0.408168077469
4, GA,200,10,0.05,1535.0,7.10433316231
4, SA,750,0.85,0.001,1636.0,0.303308010101
4, GA,200,10,0.1,1778.0,7.14120316505
4, SA,750,0.85,0.1,1569.0,0.194471120834
4, GA,200,25,0.01,1698.0,8.31823611259
4, SA,750,0.9,1e-05,1599.0,0.626961946487
4, GA,200,25,0.05,1580.0,8.34824895859
4, SA,750,0.9,0.001,1648.0,0.458695173264
4, GA,200,25,0.1,1763.0,8.37728595734
4, SA,750,0.9,0.1,1625.0,0.297245025635
4, GA,200,50,0.01,1728.0,10.386425972
4, SA,750,0.95,1e-05,1749.0,1.28941202164
4, GA,200,50,0.05,1893.0,10.3827021122
4, SA,750,0.95,0.001,1680.0,0.960761070251
4, GA,200,50,0.1,1642.0,10.4152860641
4, SA,750,0.95,0.1,1647.0,0.642200946808
4, GA,200,100,0.01,1873.0,14.4682939053
4, SA,750,0.99,1e-05,1747.0,6.53664493561
4, GA,200,100,0.05,1752.0,14.4737701416
4, SA,750,0.99,0.001,1759.0,4.8329770565
4, GA,200,100,0.1,1929.0,14.5499849319
4, SA,750,0.99,0.1,1639.0,3.20231509209
4, GA,500,10,0.01,1777.0,25.2791428566
4, SA,1000,0.85,1e-05,1552.0,0.405111074448
4, GA,500,10,0.05,1611.0,16.6825759411
4, SA,1000,0.85,0.001,1465.0,0.322095155716
4, GA,500,10,0.1,1748.0,16.6156349182
4, SA,1000,0.85,0.1,1630.0,0.204671144485
4, GA,500,25,0.01,1781.0,18.1866149902
4, SA,1000,0.9,1e-05,1571.0,0.632045984268
4, GA,500,25,0.05,1861.0,18.2926790714
4, SA,1000,0.9,0.001,1618.0,0.478322982788
4, GA,500,25,0.1,1717.0,18.3973920345
4, SA,1000,0.9,0.1,1532.0,0.319675922394
4, GA,500,50,0.01,1872.0,20.8622870445
4, SA,1000,0.95,1e-05,1682.0,1.33923506737
4, GA,500,50,0.05,1739.0,20.965970993
4, SA,1000,0.95,0.001,1606.0,0.972794055939
4, GA,500,50,0.1,1710.0,21.053691864
4, SA,1000,0.95,0.1,1611.0,0.648350000381
4, GA,500,100,0.01,1892.0,26.3425939083
4, SA,1000,0.99,1e-05,1691.0,6.61804199219
4, GA,500,100,0.05,1828.0,26.3677129745
4, SA,1000,0.99,0.001,1667.0,5.00320291519
4, GA,500,100,0.1,1724.0,35.1916658878
4, SA,1000,0.99,0.1,1703.0,3.28635907173
4, GA,750,10,0.01,1634.0,24.5181138515
4, SA,2000,0.85,1e-05,1565.0,0.428931951523
4, GA,750,10,0.05,1843.0,24.5623910427
4, SA,2000,0.85,0.001,1545.0,0.322734117508
4, GA,750,10,0.1,1695.0,25.4576900005
4, SA,2000,0.85,0.1,1576.0,0.225286960602
4, GA,750,25,0.01,1830.0,26.3761560917
4, SA,2000,0.9,1e-05,1596.0,0.663925886154
4, GA,750,25,0.05,1797.0,26.520524025
4, SA,2000,0.9,0.001,1571.0,0.503046035767
4, GA,750,25,0.1,1837.0,26.7819838524
4, SA,2000,0.9,0.1,1611.0,0.336394071579
4, GA,750,50,0.01,1866.0,29.6904470921
4, SA,2000,0.95,1e-05,1679.0,1.3350918293
4, GA,750,50,0.05,1859.0,29.6697020531
4, SA,2000,0.95,0.001,1641.0,1.01008701324
4, GA,750,50,0.1,1965.0,29.7318930626
4, SA,2000,0.95,0.1,1607.0,0.698032855988
4, GA,750,100,0.01,1876.0,36.0251970291
4, SA,2000,0.99,1e-05,1781.0,6.82420420647
4, GA,750,100,0.05,1894.0,36.1363880634
4, SA,2000,0.99,0.001,1690.0,5.21659898758
4, GA,750,100,0.1,1942.0,36.2839519978
4, SA,2000,0.99,0.1,1777.0,3.5943748951
5, GA,100,10,0.01,1544.0,3.92086291313
5, SA,500,0.85,1e-05,1537.0,0.389491796494
5, GA,100,10,0.05,1349.0,3.92203688622
5, SA,500,0.85,0.001,1489.0,0.284400939941
5, GA,100,10,0.1,1375.0,3.94288802147
5, SA,500,0.85,0.1,1472.0,0.18778014183
5, GA,100,25,0.01,1417.0,5.01428508759
5, SA,500,0.9,1e-05,1605.0,0.61128115654
5, GA,100,25,0.05,1564.0,5.03132104874
5, SA,500,0.9,0.001,1546.0,0.425765991211
5, GA,100,25,0.1,1429.0,5.04890108109
5, SA,500,0.9,0.1,1453.0,0.290369033813
5, GA,100,50,0.01,1426.0,6.82634902
5, SA,500,0.95,1e-05,1624.0,1.23375797272
5, GA,100,50,0.05,1576.0,6.8432071209
5, SA,500,0.95,0.001,1541.0,0.898870944977
5, GA,100,50,0.1,1600.0,6.86675000191
5, SA,500,0.95,0.1,1614.0,0.58139705658
5, GA,100,100,0.01,1321.0,0.0795259475708
5, SA,500,0.99,1e-05,1640.0,6.19279694557
5, GA,100,100,0.05,1164.0,0.0797741413116
5, SA,500,0.99,0.001,1609.0,4.51293897629
5, GA,100,100,0.1,1483.0,0.0796310901642
5, SA,500,0.99,0.1,1622.0,2.96695399284
5, GA,200,10,0.01,1537.0,9.97158694267
5, SA,750,0.85,1e-05,1618.0,0.385866880417
5, GA,200,10,0.05,1569.0,7.05098819733
5, SA,750,0.85,0.001,1524.0,0.292526006699
5, GA,200,10,0.1,1598.0,7.13515114784
5, SA,750,0.85,0.1,1507.0,0.201233148575
5, GA,200,25,0.01,1679.0,8.25742197037
5, SA,750,0.9,1e-05,1570.0,0.611261129379
5, GA,200,25,0.05,1599.0,8.3034799099
5, SA,750,0.9,0.001,1543.0,0.457118034363
5, GA,200,25,0.1,1541.0,8.31730604172
5, SA,750,0.9,0.1,1514.0,0.30228805542
5, GA,200,50,0.01,1576.0,10.3101639748
5, SA,750,0.95,1e-05,1575.0,1.25687193871
5, GA,200,50,0.05,1550.0,10.3418200016
5, SA,750,0.95,0.001,1554.0,0.940254926682
5, GA,200,50,0.1,1603.0,10.3755931854
5, SA,750,0.95,0.1,1531.0,0.620707035065
5, GA,200,100,0.01,1606.0,14.3840148449
5, SA,750,0.99,1e-05,1671.0,6.32939100266
5, GA,200,100,0.05,1646.0,14.4250488281
5, SA,750,0.99,0.001,1609.0,4.73643302917
5, GA,200,100,0.1,1655.0,14.4569518566
5, SA,750,0.99,0.1,1580.0,3.12254905701
5, GA,500,10,0.01,1566.0,23.5575170517
5, SA,1000,0.85,1e-05,1584.0,0.412702798843
5, GA,500,10,0.05,1621.0,16.5323650837
5, SA,1000,0.85,0.001,1530.0,0.309282064438
5, GA,500,10,0.1,1548.0,16.6340332031
5, SA,1000,0.85,0.1,1557.0,0.191651105881
5, GA,500,25,0.01,1579.0,18.1383199692
5, SA,1000,0.9,1e-05,1551.0,0.631631135941
5, GA,500,25,0.05,1603.0,18.205329895
5, SA,1000,0.9,0.001,1476.0,0.475142002106
5, GA,500,25,0.1,1566.0,18.2483739853
5, SA,1000,0.9,0.1,1626.0,0.311251878738
5, GA,500,50,0.01,1627.0,21.2152359486
5, SA,1000,0.95,1e-05,1601.0,1.27501893044
5, GA,500,50,0.05,1663.0,20.8277118206
5, SA,1000,0.95,0.001,1519.0,0.944053888321
5, GA,500,50,0.1,1660.0,20.8784148693
5, SA,1000,0.95,0.1,1567.0,0.643538951874
5, GA,500,100,0.01,1726.0,26.1450960636
5, SA,1000,0.99,1e-05,1612.0,6.47120308876
5, GA,500,100,0.05,1726.0,26.1687848568
5, SA,1000,0.99,0.001,1587.0,4.84161901474
5, GA,500,100,0.1,1763.0,26.2576680183
5, SA,1000,0.99,0.1,1581.0,3.227891922
5, GA,750,10,0.01,1712.0,24.3009297848
5, SA,2000,0.85,1e-05,1588.0,0.414967060089
5, GA,750,10,0.05,1600.0,24.4585909843
5, SA,2000,0.85,0.001,1474.0,0.324251174927
5, GA,750,10,0.1,1657.0,24.36013484
5, SA,2000,0.85,0.1,1471.0,0.206963062286
5, GA,750,25,0.01,1705.0,26.1846251488
5, SA,2000,0.9,1e-05,1575.0,0.653053998947
5, GA,750,25,0.05,1591.0,26.7178330421
5, SA,2000,0.9,0.001,1530.0,0.498652935028
5, GA,750,25,0.1,1631.0,26.5789470673
5, SA,2000,0.9,0.1,1519.0,0.331374883652
5, GA,750,50,0.01,1678.0,29.4020018578
5, SA,2000,0.95,1e-05,1615.0,1.30679512024
5, GA,750,50,0.05,1665.0,29.9299969673
5, SA,2000,0.95,0.001,1543.0,0.995218992233
5, GA,750,50,0.1,1584.0,29.5843720436
5, SA,2000,0.95,0.1,1518.0,0.681854009628
5, GA,750,100,0.01,1725.0,35.7492759228
5, SA,2000,0.99,1e-05,1708.0,6.71159815788
5, GA,750,100,0.05,1721.0,35.8813760281
